2025-04-26 22:38:54,919 | apscheduler.executors.default | INFO | Job "analysis_M5 (trigger: interval[0:05:00], next run at: 2025-04-26 21:43:53 UTC)" executed successfully
2025-04-26 22:38:54,920 | apscheduler.executors.default | INFO | Job "analysis_M30 (trigger: interval[0:30:00], next run at: 2025-04-26 22:08:53 UTC)" executed successfully
2025-04-26 22:38:54,920 | apscheduler.executors.default | INFO | Job "analysis_H1 (trigger: interval[1:00:00], next run at: 2025-04-26 22:38:53 UTC)" executed successfully
2025-04-26 22:38:54,921 | apscheduler.executors.default | INFO | Job "analysis_H4 (trigger: interval[4:00:00], next run at: 2025-04-27 01:38:53 UTC)" executed successfully
2025-04-26 22:38:54,921 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:39:05,264 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:39:15,530 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:39:25,748 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:39:35,968 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:39:46,240 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:39:56,450 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:40:06,640 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:40:16,821 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:40:27,274 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:40:37,457 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:40:47,704 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:40:57,895 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:41:08,106 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:41:18,277 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:41:28,465 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:41:38,675 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:41:48,903 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:41:59,122 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:42:09,358 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:42:19,545 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
